date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:49	44131/44131	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:46%20GMT	https://www.proformanceroofs.com/blog/categories/home-design/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/categories/home-design/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:50	43956/43956	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:46%20GMT	https://www.proformanceroofs.com/blog/categories/insurance/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/categories/insurance/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:50	296125/296125	---M-Z	200	added ('OK')	text/css	etag:%2206515d64b23d61:0%22	https://www.proformanceroofs.com/cms/includes/cxtw662zcxa.2005051912475.css	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/includes/cxtw662zcxa.2005051912475.css	(from https://www.proformanceroofs.com/site-search/)
10:29:50	44149/44149	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:47%20GMT	https://www.proformanceroofs.com/blog/categories/replacement/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/categories/replacement/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:50	45196/45196	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:47%20GMT	https://www.proformanceroofs.com/blog/categories/roof-damage/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/categories/roof-damage/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:50	12743/12743	---M-Z	200	added ('OK')	application/javascript	etag:%226c253f5527d3d51:0%22	https://www.proformanceroofs.com/cms/includes/deezb4yph94.2001241829564.js	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/includes/deezb4yph94.2001241829564.js	(from https://www.proformanceroofs.com/site-search/)
10:29:51	45163/45163	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:49%20GMT	https://www.proformanceroofs.com/blog/categories/siding/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/categories/siding/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:51	48238/48238	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:49%20GMT	https://www.proformanceroofs.com/blog/categories/weather-roofs/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/categories/weather-roofs/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:52	47110/47110	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:49%20GMT	https://www.proformanceroofs.com/blog/categories/tips/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/categories/tips/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:52	44886/44886	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:49%20GMT	https://www.proformanceroofs.com/blog/2020/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/2020/index.html	(from https://www.proformanceroofs.com/blog/)
